datetime,open,high,low,close,volume,res
2021-10-28 10:00:00,8.28250168,8.28250168,8.09303269,8.14175329,1389991,1d
2021-10-31 10:00:00,8.14175329,8.14175329,7.8007091,7.8494297,2322361,1d
2021-11-01 10:00:00,7.8494297,8.01183169,7.8494297,7.98476469,885055,1d
2021-11-02 10:00:00,7.98476469,7.98476469,7.7249215,7.8440163,2522065,1d
2021-11-03 10:00:00,7.8440163,7.9360441,7.47049171,7.8764967,1286557,1d
2021-11-04 10:00:00,7.8764967,8.06596569,7.66537411,8.03889869,1773138,1d
2021-11-07 10:00:00,8.03889869,8.03889869,7.7249215,7.7465751,1436385,1d
2021-11-08 10:00:00,7.7465751,7.9035637,7.68702771,7.7195081,2347323,1d
2021-11-09 10:00:00,7.7195081,7.8494297,7.68702771,7.68702771,1383285,1d
2021-11-10 10:00:00,7.68702771,7.6924411,7.47049171,7.57875971,2931619,1d
2021-11-11 10:00:00,7.57875971,7.7411617,7.57875971,7.7086813,696933,1d
2021-11-14 10:00:00,7.7086813,7.8440163,7.52462571,7.7032679,733167,1d
2021-11-15 10:00:00,7.7032679,7.7411617,7.17816812,7.25395572,5566725,1d
2021-11-16 10:00:00,7.25395572,7.35139692,6.71802914,6.82088374,8465351,1d
2021-11-17 10:00:00,6.82088374,7.27560932,6.76674974,6.98328573,5460459,1d
2021-11-18 10:00:00,6.98328573,7.11862073,6.76674974,6.90208474,4380409,1d
2021-11-21 10:00:00,6.90208474,6.92915173,6.76674974,6.83712394,825863,1d
2021-11-22 10:00:00,6.83712394,6.83712394,6.68554874,6.72344254,6327402,1d
2021-11-23 10:00:00,6.72344254,6.82088374,6.51231995,6.71261574,5997345,1d
2021-11-24 10:00:00,6.71261574,6.77216314,6.53397355,6.54480035,3752342,1d
2021-11-25 10:00:00,6.54480035,6.87501774,6.52856015,6.65848174,6440614,1d
2021-11-28 10:00:00,6.65848174,6.65848174,6.25247676,6.45277255,1756659,1d
2021-11-29 10:00:00,6.45277255,6.63141475,6.45277255,6.55021375,5543743,1d
2021-11-30 10:00:00,6.55021375,7.06448673,6.55021375,7.03200633,19216238,1d
2021-12-01 10:00:00,7.03200633,7.16734133,6.81005694,6.87501774,7310751,1d
2021-12-02 10:00:00,6.87501774,6.88043114,6.59893435,6.65848174,7981950,1d
2021-12-05 10:00:00,6.65848174,6.82088374,6.62058795,6.71261574,4440695,1d
2021-12-06 10:00:00,6.71261574,6.73968274,6.32285096,6.48525295,9810001,1d
2021-12-07 10:00:00,6.48525295,6.56104055,6.29037056,6.36074476,10146457,1d
2021-12-08 10:00:00,6.36074476,6.36074476,5.49460079,5.95473977,21496718,1d
2021-12-09 10:00:00,5.95473977,6.04135417,5.74361718,5.94391297,9346518,1d
2021-12-12 10:00:00,5.94391297,6.34991796,5.88436557,6.21458296,4897486,1d
2021-12-13 10:00:00,6.21458296,6.58269415,6.19292936,6.40405195,12501092,1d
2021-12-14 10:00:00,6.40405195,6.49066635,6.00887377,6.16044896,7951261,1d
2021-12-15 10:00:00,6.16044896,6.20916956,6.02511397,6.14420876,4792891,1d
