datetime,open,high,low,close,volume,res
1975-05-12 22:00:00,4.565,4.565,4.565,4.565,0,1d
1975-05-13 22:00:00,4.63,4.63,4.63,4.63,0,1d
1975-05-14 22:00:00,4.5,4.5,4.5,4.5,0,1d
1975-05-15 22:00:00,4.55,4.55,4.55,4.55,0,1d
1975-05-18 22:00:00,4.62,4.62,4.62,4.62,0,1d
1975-05-19 22:00:00,4.63,4.63,4.63,4.63,0,1d
1975-05-20 22:00:00,4.65,4.65,4.65,4.65,0,1d
1975-05-21 22:00:00,4.685,4.685,4.685,4.685,0,1d
1975-05-22 22:00:00,4.685,4.685,4.685,4.685,0,1d
1975-05-26 22:00:00,4.6,4.6,4.6,4.6,0,1d
1975-05-27 22:00:00,4.6,4.6,4.6,4.6,0,1d
1975-05-28 22:00:00,4.55,4.55,4.55,4.55,0,1d
1975-05-29 22:00:00,4.52,4.52,4.52,4.52,0,1d
1975-06-01 22:00:00,4.39,4.39,4.39,4.39,0,1d
1975-06-02 22:00:00,4.45,4.45,4.45,4.45,0,1d
1975-06-03 22:00:00,4.39,4.39,4.39,4.39,0,1d
1975-06-04 22:00:00,4.435,4.435,4.435,4.435,0,1d
1975-06-05 22:00:00,4.42,4.42,4.42,4.42,0,1d
1975-06-08 22:00:00,4.5,4.5,4.5,4.5,0,1d
1975-06-09 22:00:00,4.53,4.53,4.53,4.53,0,1d
1975-06-10 22:00:00,4.56,4.56,4.56,4.56,0,1d
1975-06-11 22:00:00,4.53,4.53,4.53,4.53,0,1d
1975-06-12 22:00:00,4.46,4.46,4.46,4.46,0,1d
1975-06-15 22:00:00,4.48,4.48,4.48,4.48,0,1d
1975-06-16 22:00:00,4.49,4.49,4.49,4.49,0,1d
1975-06-17 22:00:00,4.47,4.47,4.47,4.47,0,1d
1975-06-18 22:00:00,4.43,4.43,4.43,4.43,0,1d
1975-06-19 22:00:00,4.48,4.48,4.48,4.48,0,1d
1975-06-22 22:00:00,4.475,4.475,4.475,4.475,0,1d
1975-06-23 22:00:00,4.485,4.485,4.485,4.485,0,1d
1975-06-24 22:00:00,4.58,4.58,4.58,4.58,0,1d
1975-06-25 22:00:00,4.577,4.577,4.577,4.577,0,1d
1975-06-26 22:00:00,4.58,4.58,4.58,4.58,0,1d
1975-06-29 22:00:00,4.56,4.56,4.56,4.56,0,1d
1975-06-30 22:00:00,4.5,4.5,4.5,4.5,0,1d
1975-07-01 22:00:00,4.53,4.53,4.53,4.53,0,1d
1975-07-02 22:00:00,4.515,4.515,4.515,4.515,0,1d
1975-07-06 22:00:00,4.5,4.5,4.5,4.5,0,1d
1975-07-07 22:00:00,4.55,4.55,4.55,4.55,0,1d
1975-07-08 22:00:00,4.65,4.65,4.65,4.65,0,1d
1975-07-09 22:00:00,4.635,4.635,4.635,4.635,0,1d
1975-07-10 22:00:00,4.655,4.655,4.655,4.655,0,1d
1975-07-13 22:00:00,4.72,4.72,4.72,4.72,0,1d
1975-07-14 22:00:00,4.665,4.665,4.665,4.665,0,1d
1975-07-15 22:00:00,4.66,4.66,4.66,4.66,0,1d
1975-07-16 22:00:00,4.64,4.64,4.64,4.64,0,1d
1975-07-17 22:00:00,4.6,4.6,4.6,4.6,0,1d
1975-07-20 22:00:00,4.645,4.645,4.645,4.645,0,1d
1975-07-21 22:00:00,4.74,4.74,4.74,4.74,0,1d
1975-07-22 22:00:00,4.7,4.7,4.7,4.7,0,1d
1975-07-23 22:00:00,4.79,4.79,4.79,4.79,0,1d
1975-07-24 22:00:00,4.8,4.8,4.8,4.8,0,1d
1975-07-27 22:00:00,4.935,4.935,4.935,4.935,0,1d
1975-07-28 22:00:00,5.085,5.085,5.085,5.085,0,1d
1975-07-29 22:00:00,5.025,5.025,5.025,5.025,0,1d
1975-07-30 22:00:00,4.96,4.96,4.96,4.96,0,1d
1975-07-31 22:00:00,5.03,5.03,5.03,5.03,0,1d
1975-08-03 22:00:00,5.18,5.18,5.18,5.18,0,1d
1975-08-04 22:00:00,5.11,5.11,5.11,5.11,0,1d
1975-08-05 22:00:00,5.075,5.075,5.075,5.075,0,1d
1975-08-06 22:00:00,5.225,5.225,5.225,5.225,0,1d
1975-08-07 22:00:00,5.175,5.175,5.175,5.175,0,1d
1975-08-10 22:00:00,5.0,5.0,5.0,5.0,0,1d
1975-08-11 22:00:00,5.085,5.085,5.085,5.085,0,1d
1975-08-12 22:00:00,5.0,5.0,5.0,5.0,0,1d
1975-08-13 22:00:00,4.86,4.86,4.86,4.86,0,1d
1975-08-14 22:00:00,4.87,4.87,4.87,4.87,0,1d
1975-08-17 22:00:00,4.862,4.862,4.862,4.862,0,1d
1975-08-18 22:00:00,4.77,4.77,4.77,4.77,0,1d
1975-08-19 22:00:00,4.89,4.89,4.89,4.89,0,1d
1975-08-20 22:00:00,4.86,4.86,4.86,4.86,0,1d
1975-08-21 22:00:00,4.835,4.835,4.835,4.835,0,1d
1975-08-24 22:00:00,4.85,4.85,4.85,4.85,0,1d
1975-08-25 22:00:00,4.81,4.81,4.81,4.81,0,1d
1975-08-26 22:00:00,4.66,4.66,4.66,4.66,0,1d
